lat ,long
33.03614283,-79.984084
37.4167824,-108.4056506
41.67757315,-73.14469782
42.61885968,-83.50544419
35.99293158,-96.87367696
39.97091954,-74.5712097
41.03740677,-100.7757749
46.36670421,-99.50350622
39.41011547,-87.80523888
31.14844072,-97.74526454
32.18872936,-95.47435666
39.77597099,-81.52247236
47.31085035,-121.29956
37.47735207,-88.32742822
37.29244811,-77.89349456
37.29244811,-77.89349456
48.89407384,-112.1682796
48.96435342,-115.1157742
37.8246388,-107.885134
28.63737421,-81.13770674
31.66739711,-91.50773471
31.66739711,-91.50773471
39.41430868,-94.49779458
40.92768105,-74.53808878
39.9856728,-107.231024
45.95348274,-99.13577087
43.46019017,-116.1413012
45.61684794,-122.4258001
43.09787438,-88.4621617
42.02259255,-73.48550577
44.5061147,-70.72230229
37.65556473,-98.26098551
41.650214,-85.08183757
46.87323752,-95.73232612
44.71962755,-72.23382351
44.32353747,-89.19098336
36.15061114,-96.43967025
41.8811168,-73.03985488
39.63835365,-95.45681141
39.42401394,-75.68735124
39.42401394,-75.68735124
46.00615673,-89.50723347
44.85554819,-69.23749986
37.2141479,-78.62552714
42.37464061,-88.13351269
42.7329984,-72.10333954
44.94545187,-94.0350912
33.07900474,-115.512784
43.89113168,-73.0524672
37.78873902,-119.0738863
45.32642671,-92.42532377
35.18110441,-83.6799846
48.70021963,-121.1915293
39.11326334,-120.4389061
35.58318947,-90.96294056
39.02600151,-86.47054783
40.32809914,-96.53200107
41.39844133,-85.36782919
42.50469691,-100.5300766
37.30188244,-76.82107103
37.64948066,-90.58515268
44.03842234,-74.36720503
43.21860654,-85.46809659
43.21860654,-85.46809659
41.3210911,-85.75191291
38.39816173,-115.117053
48.49534907,-107.5492524
44.64709591,-100.7008666
44.64709591,-100.7008666
41.1853168,-74.34725508
35.52319529,-96.31116548
40.49553571,-83.89988027
42.67704536,-113.4072962
44.19518716,-93.9005398
32.08995916,-95.89431333
32.51586852,-87.86108477
38.55949766,-75.56233222
46.1517719,-88.83001694
42.20036543,-120.5235429
45.18757228,-97.63194667
41.45498362,-85.24255829
37.15479457,-77.52050059
41.08846075,-82.7290152
45.33695339,-116.5255201
43.41399799,-119.4104723
39.5635355,-112.7336683
36.94402045,-82.20326629
31.70540961,-91.3744959
31.70540961,-91.3744959
35.75411523,-94.91494418
48.327049,-100.7569373
44.87790723,-96.63402874
45.76452987,-90.66040551
45.62200734,-115.9000049
36.56325367,-104.5944643
42.31302099,-73.13713927
44.84033593,-71.13438995
45.40861219,-96.62584248
41.94278644,-85.31406375
36.38379515,-96.26625326
40.86358107,-76.77382938
47.55763659,-112.4485198
48.71603564,-103.1429773
48.24309476,-112.86716
36.67911865,-83.71182785
36.67911865,-83.71182785
44.49478161,-110.4302646
47.17249324,-68.24525882
41.97143708,-75.87981792
46.13099234,-91.60870009
38.60046835,-111.841172
34.7222327,-90.07422849
44.67386066,-73.36140792
40.03999071,-81.01388786
38.48626189,-82.87261725
41.98955896,-71.20506636
34.22781586,-86.84344912
43.54654689,-89.3528689
45.44012115,-97.26227214
29.52623271,-101.2100249
36.31110003,-88.4895621
37.19334598,-95.98897607
38.4923133,-78.00670383
41.41821602,-85.73701538
41.95084399,-71.9511164
37.94905065,-122.6274594
43.57475963,-97.0587407
48.24815308,-98.89816807
40.360507,-78.10970726
40.360507,-78.10970726
47.94718951,-91.39257365
32.85947959,-84.39692999
47.07694132,-119.324822
31.05990761,-81.41324075
31.05990761,-81.41324075
44.54893671,-123.3427366
38.96474349,-77.33558453
33.91647418,-109.435219
45.10841972,-94.16285979
35.58232959,-101.7171387
35.97484061,-105.9169632
35.97484061,-105.9169632
34.60431345,-112.4386225
46.83158041,-99.7647378
39.48435525,-118.7235713
39.33209745,-97.37485967
39.33209745,-97.37485967
34.13780782,-84.64845153
48.70871678,-122.3273101
36.59005203,-89.26963116
42.69394175,-71.37031557
42.96455549,-89.25380131
42.96455549,-89.25380131
43.37681333,-123.2640104
41.05750722,-81.34450481
44.8891413,-88.47492666
35.7589017,-105.1444719
38.35625904,-94.63930988
40.33707955,-105.1266943
48.41822976,-117.6640697
42.26770048,-99.24832415
38.47629345,-119.9996916
46.16781234,-69.00231021
39.71553494,-86.21183124
44.92726106,-97.43991096
35.05432224,-79.20656601
40.69100508,-110.384253
42.77430894,-118.4442146
44.90729392,-93.24242122
37.4181632,-94.58599365
38.8217063,-80.58970118
45.99245148,-95.68938835
38.99724122,-108.0511795
41.989894,-71.596922
37.14922318,-119.5111573
46.89273141,-99.416505
41.75998432,-70.65598838
41.75998432,-70.65598838
39.40604459,-120.0965946
40.2166095,-105.3725581
46.49649104,-122.4113066
42.92365358,-102.0414043
43.83668383,-71.09323178
43.83668383,-71.09323178
45.63874257,-97.34186672
47.12988727,-88.31624411
38.21768841,-77.66992533
35.10675102,-84.58794096
34.51995876,-97.81886031
40.76302852,-74.28588089
47.61488972,-100.8270091
40.16178738,-79.05238419
47.46589015,-116.6151536
46.43683525,-93.95778597
31.77914564,-99.48754057
40.95091108,-74.78413343
40.95091108,-74.78413343
40.37248248,-84.34011043
33.07855581,-96.98672572
37.6231767,-81.09847337
42.94833295,-109.8038839
37.06736918,-87.66376146
41.89704559,-73.44712926
45.45326699,-97.66893772
37.80745621,-94.20729855
37.80745621,-94.20729855
31.89191158,-90.60141761
32.0700182,-84.29710667
36.04444348,-85.58629482
36.70544343,-96.4191085
39.99496234,-105.112227
33.14900152,-90.34987379
35.06216037,-82.69528294
35.06216037,-82.69528294
33.5692971,-111.5241427
33.5692971,-111.5241427
43.33129134,-113.9282985
45.71958321,-89.88146231
45.77202719,-99.64103628
34.28477821,-97.17097192
38.30009665,-102.7612671
38.30009665,-102.7612671
44.31314071,-122.0454265
34.78637532,-111.2304201
33.40602291,-114.7138943
44.68126963,-118.0520874
41.21823837,-116.5203252
34.3606808,-109.363087
43.64344358,-110.7963554
46.37254151,-69.22930798
44.76671955,-67.69865499
38.7911491,-105.1063606
45.63439161,-70.36642133
44.4786195,-106.7522443
42.53266913,-100.5913352
40.19467613,-109.6740598
43.53695021,-71.5109902
44.98525558,-88.71706451
43.93094187,-118.1543661
43.73000902,-122.0435795
43.2314452,-86.31568591
41.95667791,-103.5261925
47.0737093,-94.60199282
34.7978933,-84.25515016
43.31610437,-108.1837339
47.58635938,-93.37906583
47.58635938,-93.37906583
41.51882171,-111.7364334
42.99621976,-109.888709
35.52878479,-98.02611684
42.34519603,-121.7415023
43.76821042,-103.5171508
37.39303013,-88.68764163
44.44652025,-71.81189261
44.44652025,-71.81189261
31.30627821,-89.43517179
37.12263436,-77.63606476
46.23642761,-94.33290643
43.14263278,-72.08689779
36.47750345,-104.8975739
34.32022255,-80.62877799
42.08123991,-86.21361091
47.88139248,-112.3163074
43.15573772,-94.65034846
43.15573772,-94.65034846
47.66784492,-90.98889692
39.85220834,-113.3751039
48.89570001,-99.71279981
42.7448541,-83.30902829
42.49915505,-77.1490251
42.49915505,-77.1490251
31.11366834,-94.14304379
38.0883808,-91.45203505
37.66926727,-88.83942997
46.09722632,-97.23724726
46.09722632,-97.23724726
46.64003276,-99.58716111
44.43065079,-96.29029849
35.76647764,-81.35761261
35.76647764,-81.35761261
30.4715671,-88.61299272
42.62319809,-85.19033981
46.97471381,-95.6549086
40.1117666,-75.8615303
47.0742784,-99.63065416
44.43034743,-83.92044853
39.27760527,-86.21213767
45.33651721,-70.66750065
44.99667926,-94.34099995
44.09296976,-123.2760913
30.00954296,-97.82158001
41.41470487,-86.47339356
46.41942533,-95.84002249
39.60815568,-84.97150743
41.83856383,-71.60512175
34.41755034,-93.07012469
45.31579972,-92.56438162
47.86474239,-101.5132965
43.38972512,-93.4978572
44.0417217,-70.52594229
45.23853942,-94.95293761
36.10432344,-79.3217622
34.93290273,-77.10482994
38.12596204,-96.30955756
41.47723398,-92.46027767
38.50847142,-121.5353649
43.46131869,-95.17250624
48.03204771,-98.90839834
39.0001536,-95.77964833
46.70148609,-95.74794403
43.45530211,-73.58953255
45.41585495,-84.84528421
36.38726912,-96.8232291
46.01510511,-109.1731406
40.22358076,-104.9472807
39.46941047,-79.49872597
39.46941047,-79.49872597
47.06932181,-92.00102773
36.64153852,-81.93648268
28.63214149,-81.35520745
45.26371788,-108.0421145
35.37136692,-86.38150478
35.37136692,-86.38150478
33.73083379,-96.77714221
35.19672054,-98.48298246
40.36715267,-83.05951671
40.36715267,-83.05951671
45.86918044,-113.5489263
45.30812879,-95.10304092
42.18639352,-85.57428357
38.37558017,-75.60016513
45.91935185,-95.39679944
33.23504244,-116.7444419
40.43632395,-105.0336532
41.92395129,-72.21958455
41.92395129,-72.21958455
45.17151443,-84.98252331
42.19772807,-88.10331921
42.91786524,-118.8540185
45.07573342,-93.12970047
43.62015035,-85.28522778
40.86163552,-75.61191223
33.29924834,-81.8952677
40.05558648,-105.7470802
35.5624593,-93.63756822
42.2158744,-83.58440358
36.91927707,-90.31725137
36.42430654,-103.6036449
45.53499061,-98.61510704
42.24331356,-111.8494043
34.37372835,-98.33928249
40.69658925,-118.2877882
40.98833771,-90.40342515
40.98833771,-90.40342515
39.70336556,-78.6529137
39.70336556,-78.6529137
39.55034756,-118.4872676
44.87942422,-68.22634141
44.87942422,-68.22634141
32.81786479,-94.66358144
35.17438787,-99.07748881
45.18354857,-104.9029774
41.69099262,-85.02355495
48.31121533,-109.0808926
43.01358163,-101.2414939
32.33548183,-93.42201588
43.94203389,-86.44955883
41.69578514,-75.13281395
35.02357175,-111.4006586
43.98761718,-73.57062703
33.8011914,-117.8101552
45.27690467,-99.20535219
40.19390978,-115.4667267
32.94442993,-96.45375244
32.94442993,-96.45375244
39.72076713,-86.72022287
37.66379232,-120.2158143
40.87505443,-115.3870819
41.12628679,-104.6433761
28.89574438,-81.83982976
42.49288038,-94.62256302
38.98857897,-75.52117937
37.52243125,-112.7718285
37.52243125,-112.7718285
41.22553211,-85.65005694
42.37792782,-86.04479965
38.07832575,-122.7433592
38.07832575,-122.7433592
42.51653009,-83.79679212
47.51724168,-116.5654143
37.69858857,-84.22950013
37.69858857,-84.22950013
34.53435079,-92.26882632
34.53435079,-92.26882632
41.37535097,-112.0897045
45.85351959,-99.256675
39.2161943,-76.85372655
46.55919455,-91.39356434
37.39088653,-99.78483802
41.57991404,-84.92317079
41.57991404,-84.92317079
40.0798358,-105.2171741
48.96610899,-109.7597298
48.24728982,-114.1209126
48.24728982,-114.1209126
41.92898525,-119.1790015
41.92898525,-119.1790015
44.78618159,-109.2581674
44.78618159,-109.2581674
34.95361555,-96.71815923
34.95361555,-96.71815923
33.32192301,-85.81071637
40.942526,-111.4050319
40.77952043,-110.4755592
36.40283746,-89.4221669
44.011243,-121.742747
44.011243,-121.742747
45.36960949,-96.2981533
48.57418374,-103.6650787
44.09983155,-111.4892567
35.87641312,-79.01276032
34.44998248,-108.768328
41.66101246,-111.9144171
42.20637168,-114.8788521
35.1098162,-81.98461692
41.43874241,-93.54970598
41.46944302,-93.9205438
30.43458497,-84.56553879
42.15782464,-122.6076343
44.76282381,-71.95376535
32.71181859,-91.70543665
29.09293313,-97.08741762
42.27144044,-109.4346462
39.68564758,-79.23041764
28.62012601,-81.62390666
32.5933156,-98.31780702
44.32793752,-97.11673425
36.95945142,-81.80846875
37.87140844,-93.28360934
33.29204144,-87.3913824
33.29204144,-87.3913824
46.42201675,-124.0356028
46.42201675,-124.0356028
34.42742317,-111.0867324
48.15395251,-117.3185295
47.40945996,-122.7841888
35.66711339,-105.2417642
41.28698824,-85.78290582
48.18768071,-116.5255832
40.04718141,-119.5715783
47.2749168,-100.3980476
40.06311139,-99.29220135
40.06311139,-99.29220135
38.64269726,-75.55096879
38.38378684,-98.48649105
36.27620301,-109.2032708
41.56342191,-71.48058008
41.56342191,-71.48058008
43.63193717,-124.1791887
40.17574563,-110.4823139
42.7469444,-72.83550844
34.37197397,-81.37812658
34.46148002,-89.68450516
47.12004952,-122.577182
28.09204922,-81.70722184
28.09204922,-81.70722184
44.39373075,-75.67976887
28.8388165,-81.26992474
40.36174467,-100.7041992
40.72381895,-109.183908
28.17018584,-81.83447199
29.20586378,-95.35804897
32.83672651,-96.71957959
41.32198742,-98.90067497
37.0434,-80.86760868
48.05490061,-106.4419746
37.90817585,-114.2671693
47.68287539,-112.4617662
31.31650271,-92.73712184
41.76432182,-98.65979155
47.91608833,-120.1596049
41.46499206,-112.3554705
32.28515417,-90.64279638
48.45099337,-114.3814277
40.72464699,-110.6389813
38.21375521,-87.11795032
32.24025447,-101.3133027
40.76439588,-122.2541896
33.7624784,-86.05315833
42.45261113,-100.6479949
45.24419324,-88.70016387
33.8704306,-80.82486419
41.5640181,-71.19558597
44.95572697,-71.71766789
45.69877035,-97.44011662
48.97086935,-112.0143481
43.17179588,-94.90593006
39.13365249,-78.59720705
41.73681985,-111.876971
33.39937114,-82.71281563
44.96411515,-116.4630194
44.96411515,-116.4630194
44.8826344,-99.74168521
39.39689961,-80.06568072
39.5724957,-112.6556818
41.07631805,-86.46293011
41.03542015,-96.83772744
45.92343498,-101.2672102
26.96218896,-80.86112023
26.96218896,-80.86112023
38.04946334,-111.6019686
40.80920901,-111.9979531
33.60760953,-112.2848192
48.45840044,-116.8242397
41.760611,-102.3176648
42.2470959,-101.9369011
40.20325452,-115.4793235
42.66981217,-94.4913936
39.499124,-98.3634546
33.46313824,-80.3893452
40.14319362,-107.117692
41.47708308,-112.192831
39.13192095,-77.1313764
40.11381761,-81.94254126
41.7876174,-102.5218866
46.95583484,-99.77322635
39.68897035,-75.63031311
41.89149766,-71.68263866
36.17599422,-104.8160803
35.55787898,-104.7635199
43.56495608,-121.9830847
48.83419438,-108.0100019
43.88512951,-99.13024146
36.79890899,-108.1040209
41.40223403,-71.66699895
41.48996086,-112.2775928
32.70588282,-108.406542
30.53687948,-92.44030014
48.84940875,-104.0593666
43.32606664,-73.81278904
33.46757924,-103.60606
32.81895014,-106.1004874
45.71082611,-97.4684742
36.11465874,-98.59889361
41.51313278,-119.0630003
41.05566632,-81.54576139
36.13002837,-109.0083284
37.35169484,-87.52614577
39.41887417,-79.36633479
40.17937905,-115.4813172
39.63888863,-86.84775262
43.49666793,-72.91829204
37.87500872,-87.75821841
35.67437636,-87.03244737
35.67437636,-87.03244737
38.8430819,-75.25899919
41.48115412,-85.34084746
45.51927745,-100.906435
34.72904176,-97.77302237
41.97856043,-119.7862536
39.18276026,-112.5439616
37.33610144,-86.15640465
35.49939033,-97.67805883
36.82300133,-96.04758798
33.28949519,-87.68596227
39.36035119,-111.9637079
41.50572851,-112.2538051
42.14582693,-76.49743796
33.91124585,-109.7317698
34.49007432,-96.98402642
33.84530018,-111.6185016
33.84530018,-111.6185016
36.7118285,-108.1531642
48.7562708,-116.0903859
48.7562708,-116.0903859
31.3826592,-92.72750943
39.62713514,-118.4674627
43.00984064,-109.5338453
34.49721809,-110.8247241
33.8293043,-109.090421
38.51997073,-75.51111717
40.59743375,-93.77118762
45.60448724,-103.6125348
33.43731387,-110.8395428
40.35563666,-109.8147574
45.55713177,-103.7166048
43.37342619,-86.14530228
41.76357405,-119.8871752
39.05604224,-82.69067345
39.63492427,-118.9331952
40.4581066,-111.4811121
41.62272558,-80.30498498
37.49589421,-114.2215993
36.06597592,-95.54797252
44.40802473,-68.26846793
45.65308983,-69.92693773
46.94446563,-68.87102341
46.13856683,-89.55280909
46.35302208,-69.0573662
45.34667189,-67.91202186
46.96580352,-68.85604358
44.36838057,-69.11599687
45.7539699,-69.07586512
43.02256679,-72.01641972
40.59285373,-115.3943332
37.35866948,-76.84210284
37.313394,-76.708333
37.97490526,-80.95380017
46.38091128,-88.72244848
46.08092364,-88.76960025
42.4792253,-92.38858001
37.10220721,-96.79578267
38.79133099,-95.97942873
38.12220448,-94.8915798
37.23385644,-96.18525789
37.72727909,-90.92263214
37.38849146,-91.26210909
